ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
AFG,Afghanistan,rural,Sanitation,2002,28.5169,4739262.47992,Open defecation
AFG,Afghanistan,urban,Sanitation,2002,5.40981,257451.79911,Open defecation
AFG,Afghanistan,total,Drinking water,2002,23.56019,5036724.56493,Surface water
AFG,Afghanistan,rural,Drinking water,2002,27.97421,4649070.61874,Surface water
AFG,Afghanistan,urban,Drinking water,2002,8.14573,387653.73838,Surface water
AFG,Afghanistan,total,Sanitation,2002,10.85397,2320373.79577,Safely managed service
AFG,Afghanistan,rural,Sanitation,2002,11.01431,1830483.35357,Safely managed service
AFG,Afghanistan,urban,Sanitation,2002,10.29401,489890.36591,Safely managed service
AFG,Afghanistan,total,Drinking water,2002,12.2981,2629102.25659,Safely managed service
AFG,Afghanistan,rural,Drinking water,2002,9.35664,1554992.50528,Safely managed service
AFG,Afghanistan,urban,Drinking water,2002,22.57015,1074109.6973,Safely managed service
AFG,Afghanistan,total,Sanitation,2002,47.43837,10141429.401,Unimproved
AFG,Afghanistan,rural,Sanitation,2002,47.74646,7935047.35442,Unimproved
AFG,Afghanistan,urban,Sanitation,2002,46.36247,2206381.90474,Unimproved
AFG,Afghanistan,total,Drinking water,2002,41.64722,8903390.69783,Unimproved
AFG,Afghanistan,rural,Drinking water,2002,45.03496,7484420.43068,Unimproved
AFG,Afghanistan,urban,Drinking water,2002,29.81667,1418970.13314,Unimproved
AFG,Afghanistan,total,Sanitation,2003,13.58378,3088007.86268,Basic service
AFG,Afghanistan,rural,Sanitation,2003,10.59193,1869637.43359,Basic service
AFG,Afghanistan,urban,Sanitation,2003,23.9765,1218370.16374,Basic service
AFG,Afghanistan,total,Drinking water,2003,20.80788,4730265.21396,Basic service
AFG,Afghanistan,rural,Drinking water,2003,16.02689,2828991.93465,Basic service
AFG,Afghanistan,urban,Drinking water,2003,37.41546,1901273.45464,Basic service
AFG,Afghanistan,total,Sanitation,2003,5.75688,1308713.51974,Limited service
AFG,Afghanistan,rural,Sanitation,2003,2.96516,523395.57736,Limited service
AFG,Afghanistan,urban,Sanitation,2003,15.45439,785317.89687,Limited service
AFG,Afghanistan,total,Drinking water,2003,3.1757,721933.32908,Limited service
AFG,Afghanistan,rural,Drinking water,2003,3.15441,556802.30495,Limited service
AFG,Afghanistan,urban,Drinking water,2003,3.24964,165130.98292,Limited service
AFG,Afghanistan,total,Sanitation,2003,22.81701,5187001.79956,Open defecation
AFG,Afghanistan,rural,Sanitation,2003,27.91883,4928100.52332,Open defecation
AFG,Afghanistan,urban,Sanitation,2003,5.09495,258900.92446,Open defecation
AFG,Afghanistan,total,Drinking water,2003,22.77056,5176443.56493,Surface water
AFG,Afghanistan,rural,Drinking water,2003,27.10126,4783787.37647,Surface water
AFG,Afghanistan,urban,Drinking water,2003,7.72714,392655.84547,Surface water
AFG,Afghanistan,total,Sanitation,2003,11.57633,2631653.80975,Safely managed service
AFG,Afghanistan,rural,Sanitation,2003,11.75061,2074163.13752,Safely managed service
AFG,Afghanistan,urban,Sanitation,2003,10.97094,557490.51934,Safely managed service
AFG,Afghanistan,total,Drinking water,2003,13.10075,2978199.89491,Safely managed service
AFG,Afghanistan,rural,Drinking water,2003,10.17753,1796490.07456,Safely managed service
AFG,Afghanistan,urban,Drinking water,2003,23.25505,1181709.68042,Safely managed service
AFG,Afghanistan,total,Sanitation,2003,46.266,10517672.06704,Unimproved
AFG,Afghanistan,rural,Sanitation,2003,46.77347,8256233.25098,Unimproved
AFG,Afghanistan,urban,Sanitation,2003,44.50321,2261439.01174,Unimproved
AFG,Afghanistan,total,Drinking water,2003,40.14511,9126206.84268,Unimproved
AFG,Afghanistan,rural,Drinking water,2003,43.5399,7685458.4573,Unimproved
AFG,Afghanistan,urban,Drinking water,2003,28.35272,1440748.63031,Unimproved
AFG,Afghanistan,total,Sanitation,2004,14.29461,3367904.05767,Basic service
AFG,Afghanistan,rural,Sanitation,2004,11.24261,2052845.91412,Basic service
AFG,Afghanistan,urban,Sanitation,2004,24.80705,1315058.12312,Basic service
AFG,Afghanistan,total,Drinking water,2004,22.08909,5204333.69909,Basic service
AFG,Afghanistan,rural,Drinking water,2004,17.31958,3162469.41527,Basic service
AFG,Afghanistan,urban,Drinking water,2004,38.5174,2041863.93278,Basic service
AFG,Afghanistan,total,Sanitation,2004,6.06788,1429633.13055,Limited service
AFG,Afghanistan,rural,Sanitation,2004,3.14923,575033.63864,Limited service
AFG,Afghanistan,urban,Sanitation,2004,16.12103,854599.43923,Limited service
